iter	MAE
0	0.4496861737
1	0.4306543677
2	0.4125275041
3	0.3958278784
4	0.379760464
5	0.3648716908
6	0.3505023476
7	0.337023448
8	0.324596378
9	0.3125341883
10	0.3014542631
11	0.2907614041
12	0.2808948985
13	0.2715525841
14	0.2629039762
15	0.2545559709
16	0.2465815468
17	0.2392909117
18	0.232576215
19	0.2262443334
20	0.2204001093
21	0.2149731781
22	0.2095310287
23	0.2046539738
24	0.1998688085
25	0.1955176672
26	0.1915104064
27	0.1876477696
28	0.1841622342
29	0.1808741909
30	0.1775504417
31	0.1748224737
32	0.1720605881
33	0.1695048137
34	0.1670132122
35	0.1648032638
36	0.16272287
37	0.1608060089
38	0.1589818688
39	0.1572341824
40	0.1556131928
41	0.1541774475
42	0.152782909
43	0.1515062606
44	0.1503096816
45	0.1491399079
46	0.1480598209
47	0.1471076296
48	0.146197994
49	0.1452951528
50	0.1444568498
51	0.143669688
52	0.1429682314
53	0.1422850384
54	0.1416388743
55	0.1410094355
56	0.1404513857
57	0.1399023947
58	0.1394388221
59	0.138944769
60	0.1385606387
61	0.1381817296
62	0.137762674
63	0.1373452972
64	0.137020729
65	0.1366658631
66	0.1363452788
67	0.1360529776
68	0.1357777957
69	0.1355110819
70	0.1352829283
71	0.1350498399
72	0.1348583149
73	0.1346314553
74	0.1344224619
75	0.1342339978
76	0.1340701777
77	0.1338912424
78	0.133755736
79	0.1336036866
80	0.1334748118
81	0.1333382717
82	0.1331885856
83	0.1330819062
84	0.1329621381
85	0.1328718278
86	0.1327552182
87	0.1326309963
88	0.1325118185
89	0.1324098205
90	0.1323062382
91	0.1322238601
92	0.1321448658
93	0.1320874112
94	0.1319689635
95	0.1318862809
96	0.1318084504
97	0.1317132988
98	0.1316417137
99	0.1315700066
100	0.1314922518
101	0.1314436721
102	0.1313499126
103	0.131298359
104	0.1312424953
105	0.1311805601
106	0.1311285506
107	0.1310757238
108	0.1310169027
109	0.1309757307
110	0.1309187234
111	0.1308643238
112	0.1308200611
113	0.1307837145
114	0.1307335865
115	0.1306710857
116	0.1306323818
117	0.1305779809
118	0.130538995
119	0.130491645
120	0.1304520253
121	0.1304175922
122	0.1303798365
123	0.1303503907
124	0.1303049076
125	0.1302658454
126	0.130230544
127	0.1301948984
128	0.1301430392
129	0.1301092589
130	0.1300725899
131	0.13004701
132	0.1299960061
133	0.1299639592
134	0.1299308837
135	0.1298971655
136	0.1298707441
137	0.1298480579
138	0.1298175406
139	0.1297951929
140	0.1297700303
141	0.1297484351
142	0.1297193259
143	0.1297020907
144	0.1296712701
145	0.1296488169
146	0.1296288171
147	0.1296095401
148	0.1295821398
149	0.1295619851
150	0.1295468768
151	0.1295121718
152	0.129486169
153	0.1294663177
154	0.1294514727
155	0.1294289488
156	0.1294111203
157	0.1293882191
158	0.1293734227
159	0.1293458903
160	0.1293200342
161	0.1293060729
162	0.129282914
163	0.1292646835
164	0.1292351753
165	0.1292134581
166	0.1291946645
167	0.1291660023
168	0.1291486169
169	0.1291348364
170	0.1291215095
171	0.1290974035
172	0.1290731603
173	0.1290569616
174	0.1290278076
175	0.1290114751
176	0.1289984567
177	0.1289819812
178	0.1289623802
179	0.128927874
180	0.1289036409
181	0.1288822052
182	0.1288700522
183	0.1288413518
184	0.1288202994
185	0.1288055043
186	0.1287864299
187	0.1287693717
188	0.1287539777
189	0.1287392269
190	0.1287282687
191	0.1287084846
192	0.1286964048
193	0.1286807048
194	0.1286464984
195	0.1286368301
196	0.1286258911
197	0.1286108136
198	0.1285948658
199	0.1285759031
