iter	Passed	Remaining
0	1104	1102899
1	1753	874880
2	2306	766469
3	2915	726008
4	3379	672604
5	4060	672693
6	4686	664846
7	5307	658106
8	5900	649693
9	6476	641191
10	7090	637477
11	7578	623956
12	8163	619795
13	8778	618240
14	9357	614447
15	9875	607355
16	10442	603825
17	10994	599837
18	11595	598679
19	12170	596344
20	12767	595187
21	13331	592636
22	13965	593222
23	14552	591791
24	15183	592175
25	15724	589077
26	16314	587931
27	16964	588906
28	17618	589918
29	18229	589429
30	18814	588090
31	19360	585654
32	19967	585114
33	20511	582756
34	21255	586050
35	21875	585772
36	22474	584937
37	23089	584523
38	23703	584071
39	24302	583261
40	24835	580902
41	25482	581247
42	26087	580598
43	26670	579481
44	27289	579135
45	27837	577316
46	28351	574871
47	28925	573685
48	29531	573146
49	30150	572858
50	30754	572268
51	31349	571520
52	32033	572370
53	32617	571405
54	33150	569585
55	33715	568339
56	34298	567428
57	34931	567342
58	35469	565708
59	36059	564938
60	36643	564066
61	37305	564394
62	37850	562952
63	38460	562477
64	39039	561569
65	39645	561039
66	40229	560206
67	40795	559141
68	41445	559214
69	42078	559048
70	42644	557978
71	43245	557391
72	43842	556743
73	44435	556047
74	45004	555055
75	45702	555650
76	46337	555450
77	46882	554178
78	47450	553185
79	47996	551958
80	48590	551295
81	49213	550950
82	49835	550596
83	50463	550297
84	51044	549481
85	51703	549501
86	52328	549145
87	52971	548980
88	53623	548886
89	54247	548507
90	54867	548070
91	55474	547505
92	56087	547007
93	56701	546502
94	57188	544791
95	57723	543566
96	58315	542878
97	58970	542772
98	59586	542301
99	60176	541592
100	60758	540807
101	61412	540669
102	61938	539408
103	62604	539363
104	63159	538360
105	63821	538270
106	64426	537689
107	65088	537581
108	65639	536561
109	66231	535873
110	66830	535243
111	67463	534889
112	68044	534122
113	68681	533791
114	69287	533209
115	69875	532500
116	70449	531679
117	71069	531213
118	71706	530867
119	72279	530049
120	72882	529454
121	73554	529354
122	74116	528457
123	74834	528666
124	75399	527795
125	76018	527302
126	76688	527160
127	77267	526385
128	77878	525827
129	78497	525331
130	79174	525209
131	79817	524860
132	80402	524125
133	80972	523300
134	81580	522721
135	82272	522669
136	82868	522010
137	83404	520975
138	83978	520184
139	84587	519609
140	85249	519356
141	85889	518964
142	86547	518679
143	87141	518008
144	87742	517377
145	88363	516864
146	88956	516192
147	89590	515748
148	90254	515479
